,timestamp,open,high,low,close,volume
0,1660017600000,164.02,165.82,163.25,164.92,63075503.0
1,1660104000000,167.68,169.34,166.9,169.24,70170540.0
2,1660190400000,170.06,170.99,168.19,168.49,57142109.0
3,1660276800000,169.82,172.17,169.4,172.1,68039382.0
4,1660536000000,171.52,173.39,171.345,173.19,54091694.0
5,1660622400000,172.78,173.71,171.6618,173.03,56377050.0
6,1660708800000,172.77,176.15,172.57,174.55,79542037.0
7,1660795200000,173.75,174.9,173.12,174.15,62290075.0
8,1660881600000,173.03,173.74,171.3101,171.52,70336995.0
9,1661140800000,169.69,169.86,167.135,167.57,68975809.0
10,1661227200000,167.08,168.71,166.65,167.23,54147079.0
11,1661313600000,167.32,168.11,166.245,167.53,53841524.0
12,1661400000000,168.78,170.14,168.35,170.03,51218209.0
13,1661486400000,170.57,171.05,163.56,163.62,78960980.0
14,1661745600000,161.145,162.9,159.82,161.38,73313953.0
15,1661832000000,162.13,162.56,157.72,158.91,77906197.0
16,1661918400000,160.305,160.58,157.14,157.22,87991091.0
17,1662004800000,156.64,158.42,154.67,157.96,74229896.0
18,1662091200000,159.75,160.362,154.965,155.81,76807768.0
19,1662436800000,156.47,157.09,153.69,154.53,73714843.0
20,1662523200000,154.825,156.67,153.61,155.96,87293824.0
21,1662609600000,154.64,156.36,152.68,154.46,84909447.0
22,1662696000000,155.47,157.82,154.75,157.37,68081006.0
23,1662955200000,159.59,164.26,159.3,163.43,104955962.0
24,1663041600000,159.9,160.54,153.37,153.84,122651554.0
25,1663128000000,154.785,157.1,153.6106,155.31,87935409.0
26,1663214400000,154.65,155.24,151.38,152.37,90481110.0
27,1663300800000,151.21,151.35,148.37,150.7,160940131.0
28,1663560000000,149.31,154.56,149.1,154.48,81474246.0
29,1663646400000,153.4,158.08,153.08,156.9,107639796.0
30,1663732800000,157.34,158.74,153.6,153.72,101696790.0
31,1663819200000,152.38,154.47,150.91,152.74,86652542.0
32,1663905600000,151.19,151.47,148.56,150.43,96029909.0
33,1664164800000,149.66,153.7701,149.64,150.77,93339409.0
34,1664251200000,152.74,154.72,149.945,151.76,84282741.0
35,1664337600000,147.64,150.6414,144.84,149.84,146661387.0
36,1664424000000,146.1,146.72,140.68,142.48,128138237.0
37,1664510400000,141.28,143.1,138.0,138.2,124910274.0
38,1664769600000,138.21,143.07,137.685,142.45,114311663.0
39,1664856000000,145.03,146.22,144.26,146.1,87780064.0
40,1664942400000,144.075,147.38,143.01,146.4,79269968.0
41,1665028800000,145.81,147.54,145.22,145.43,68308669.0
42,1665115200000,142.54,143.1,139.445,140.09,85925559.0
43,1665374400000,140.42,141.89,138.5729,140.42,74899002.0
44,1665460800000,139.9,141.35,138.22,138.98,77001872.0
45,1665547200000,139.13,140.36,138.16,138.34,69933744.0
46,1665633600000,134.99,143.59,134.37,142.99,113223975.0
47,1665720000000,144.31,144.52,138.19,138.38,88597969.0
48,1665979200000,141.065,142.9,140.27,142.41,85250639.0
49,1666065600000,145.49,146.7,140.61,143.75,99130632.0
50,1666152000000,141.69,144.9492,141.5,143.86,61757790.0
51,1666238400000,143.02,145.89,142.65,143.39,64521989.0
52,1666324800000,142.87,147.8479,142.649,147.27,86548459.0
53,1666584000000,147.185,150.23,146.0,149.45,75981918.0
54,1666670400000,150.09,152.49,149.36,152.34,74682290.0
55,1666756800000,150.96,151.99,148.04,149.35,87883672.0
56,1666843200000,148.07,149.046,144.13,144.8,109161970.0
57,1666929600000,148.2,157.5,147.82,155.74,164762371.0
58,1667188800000,153.155,154.24,151.92,153.34,97932271.0
59,1667275200000,155.08,155.45,149.13,150.65,80379345.0
60,1667361600000,148.945,152.17,145.0,145.03,93604623.0
61,1667448000000,142.06,142.8,138.75,138.88,97917166.0
62,1667534400000,142.09,142.67,134.38,138.38,140494796.0
63,1667797200000,137.11,139.145,135.671,138.92,83364228.0
64,1667883600000,140.41,141.43,137.49,139.5,89908477.0
65,1667970000000,138.5,138.55,134.5933,134.87,74903262.0
66,1668056400000,141.24,146.87,139.5,146.87,118854028.0
67,1668142800000,145.82,150.01,144.37,149.7,93966273.0
68,1668402000000,148.97,150.28,147.43,148.28,73374114.0
69,1668488400000,152.215,153.59,148.5613,150.04,89868332.0
70,1668574800000,149.13,149.87,147.29,148.79,64218266.0
71,1668661200000,146.43,151.48,146.15,150.72,80389400.0
72,1668747600000,152.305,152.7,149.97,151.29,74829573.0
73,1669006800000,150.16,150.37,147.715,148.01,58724070.0
74,1669093200000,148.13,150.42,146.925,150.18,51804132.0
75,1669179600000,149.45,151.83,149.34,151.07,58283895.0
76,1669352400000,148.305,148.88,147.12,148.11,35195860.0
77,1669611600000,145.14,146.64,143.38,144.22,69346522.0
78,1669698000000,144.29,144.81,140.355,141.17,83736803.0
79,1669784400000,141.395,148.72,140.55,148.03,111314880.0
80,1669870800000,148.21,149.13,146.61,148.31,71250416.0
81,1669957200000,145.96,148.0,145.65,147.81,65438446.0
82,1670216400000,147.77,150.9199,145.77,146.63,68826442.0
83,1670302800000,147.075,147.3,141.92,142.91,64727186.0
84,1670389200000,142.19,143.37,140.0,140.94,69721094.0
85,1670475600000,142.36,143.52,141.1,142.65,62128338.0
86,1670562000000,142.34,145.57,140.9,142.16,76084511.0
87,1670821200000,142.7,144.5,141.06,144.49,70462654.0
88,1670907600000,149.5,149.9692,144.24,145.47,93486161.0
89,1670994000000,145.35,146.655,141.16,143.21,82211182.0
90,1671080400000,141.11,141.8,136.025,136.5,98463907.0
91,1671166800000,136.685,137.65,133.73,134.51,160063600.0
92,1671426000000,135.11,135.2,131.32,132.37,79592614.0
93,1671512400000,131.39,133.25,129.89,132.3,77430718.0
94,1671598800000,132.98,136.81,132.75,135.45,85927993.0
95,1671685200000,134.352,134.56,130.3,132.23,77696108.0
96,1671771600000,130.92,132.415,129.64,131.86,63802893.0
97,1672117200000,131.38,131.41,128.72,130.03,69007830.0
98,1672203600000,129.67,131.0275,125.87,126.04,85438391.0
99,1672290000000,127.99,130.4814,127.73,129.61,75501810.0
100,1672376400000,128.41,129.95,127.43,129.93,76204209.0
101,1672722000000,130.28,130.9,124.17,125.07,112117471.0
102,1672808400000,126.89,128.6557,125.08,126.36,89100633.0
103,1672894800000,127.13,127.77,124.76,125.02,80716808.0
104,1672981200000,126.01,130.29,124.89,129.62,87754715.0
105,1673240400000,130.465,133.41,129.89,130.15,70790813.0
106,1673326800000,130.26,131.2636,128.12,130.73,63896155.0
107,1673413200000,131.25,133.51,130.46,133.49,69458949.0
108,1673499600000,133.88,134.26,131.44,133.41,71379648.0
109,1673586000000,132.03,134.92,131.66,134.76,57809719.0
110,1673931600000,134.83,137.29,134.13,135.94,63612627.0
111,1674018000000,136.815,138.61,135.03,135.21,69672800.0
112,1674104400000,134.08,136.25,133.77,135.27,58280413.0
113,1674190800000,135.28,138.02,134.22,137.87,80200655.0
114,1674450000000,138.12,143.315,137.9,141.11,81760313.0
115,1674536400000,140.305,143.16,140.3,142.53,66435142.0
116,1674622800000,140.89,142.43,138.81,141.86,65799349.0
117,1674709200000,143.17,144.25,141.9,143.96,54105068.0
118,1674795600000,143.155,147.23,143.08,145.93,70547743.0
119,1675054800000,144.955,145.55,142.85,143.0,64015274.0
120,1675141200000,142.7,144.34,142.28,144.29,65874459.0
121,1675227600000,143.97,146.61,141.32,145.43,77663426.0
122,1675314000000,148.9,151.18,148.17,150.82,118338980.0
123,1675400400000,148.03,157.38,147.83,154.5,154338835.0
124,1675659600000,152.575,153.1,150.78,151.73,69771906.0
125,1675746000000,150.64,155.23,150.64,154.65,83322551.0
126,1675832400000,153.88,154.58,151.168,151.92,63620079.0
127,1675918800000,153.775,154.33,150.42,150.87,55994243.0
128,1676005200000,149.46,151.3401,149.22,151.01,57388108.0
129,1676264400000,150.952,154.26,150.92,153.85,62199013.0
130,1676350800000,152.12,153.77,150.86,153.2,61664023.0
131,1676437200000,153.11,155.5,152.88,155.33,65665252.0
132,1676523600000,153.51,156.33,153.3475,153.71,68167942.0
133,1676610000000,152.35,153.0,150.85,152.55,59105618.0
134,1676955600000,150.2,151.3,148.405,148.48,58217230.0
135,1677042000000,148.87,149.95,147.16,148.91,51008155.0
136,1677128400000,150.09,150.34,147.24,149.4,48392049.0
137,1677214800000,147.11,147.19,145.7202,146.71,55469606.0
138,1677474000000,147.71,149.17,147.45,147.92,44998470.0
139,1677560400000,147.05,149.08,146.83,147.41,50546998.0
140,1677646800000,146.83,147.2285,145.01,145.31,55478991.0
141,1677733200000,144.38,146.71,143.9,145.91,52279761.0
142,1677819600000,148.045,151.11,147.33,151.03,70725339.0
143,1678078800000,153.785,156.3,153.46,153.83,87558028.0
144,1678165200000,153.7,154.0299,151.13,151.6,56136378.0
145,1678251600000,152.81,153.47,151.83,152.87,47204791.0
146,1678338000000,153.559,154.535,150.225,150.59,53833122.0
147,1678424400000,150.21,150.94,147.6096,148.5,68559600.0
148,1678680000000,147.805,153.14,147.7,150.47,84457122.0
149,1678766400000,151.28,153.4,150.1,152.59,72045893.0
150,1678852800000,151.19,153.245,149.92,152.99,77167866.0
151,1678939200000,152.16,156.46,151.64,155.85,76206919.0
